Inputs.PrjLoc,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,
UKAvg,0.5,100,2.117758133,,,0.5,100,2.117758133,-0.121947406,,0.5,200,2.668288888,-0.413607981,,0.5,300,3.447509575,-0.826424069,,0.5,400,3.762355258,-0.993223238,,0.5,500,3.762355258,-0.993223238
UKAvg,0.6,100,2.067336859,,,0.6,100,2.067336859,-0.095235188,,0.6,200,2.464427511,-0.305606155,,0.6,300,2.958512403,-0.5673628,,0.6,400,3.138841245,-0.662897542,,0.6,500,3.138841245,-0.662897542
UKAvg,0.7,100,2.019260691,,,0.7,100,2.019260691,-0.069765362,,0.7,200,2.289505749,-0.21293598,,0.7,300,2.591002758,-0.37266328,,0.7,400,2.692610092,-0.426492885,,0.7,500,2.692610092,-0.426492885
UKAvg,0.8,100,1.97336974,,,0.8,100,1.97336974,-0.045453221,,0.8,200,2.137769719,-0.132549158,,0.8,300,2.304709255,-0.220990504,,0.8,400,2.357463023,-0.248938433,,0.8,500,2.357463023,-0.248938433
UKAvg,0.9,100,1.929518328,,,0.9,100,1.929518328,-0.022221589,,0.9,200,2.004896075,-0.062155265,,0.9,300,2.075388661,-0.099500878,,0.9,400,2.096511837,-0.110691529,,0.9,500,2.096511837,-0.110691529
UKAvg,1,100,1.887573447,,,1,100,1.887573447,0,,1,200,1.887573447,0,,1,300,1.887573447,0,,1,400,1.887573447,0,,1,500,1.887573447,0
UKAvg,1.1,100,1.847413405,,,1.1,100,1.847413405,0.021276015,,1.1,200,1.783222714,0.055283005,,1.1,300,1.730930461,0.082986432,,1.1,400,1.716506402,0.09062802,,1.1,500,1.716506402,0.09062802
UKAvg,1.2,100,1.808926654,,,1.2,100,1.808926654,0.041665554,,1.2,200,1.689805204,0.1047738,,1.2,300,1.598293765,0.153254795,,1.2,400,1.573869706,0.16619419,,1.2,500,1.573869706,0.16619419
UKAvg,1.3,100,1.772010749,,,1.3,100,1.772010749,0.061222888,,1.3,200,1.605688177,0.149337378,,1.3,300,1.484537518,0.21352066,,1.3,400,1.453119681,0.230165224,,1.3,500,1.453119681,0.230165224
UKAvg,1.4,100,1.736571443,,,1.4,100,1.736571443,0.079997949,,1.4,200,1.529548585,0.189674665,,1.4,300,1.385898217,0.265777859,,1.4,400,1.349577728,0.285019754,,1.4,500,1.349577728,0.285019754
UKAvg,1.5,100,1.702521878,,,1.5,100,1.702521878,0.098036751,,1.5,200,1.460302966,0.226359658,,1.5,300,1.299550293,0.311523324,,1.5,400,1.259810041,0.332576943,,1.5,500,1.259810041,0.332576943
UKAvg,1.6,100,1.66978188,,,1.6,100,1.66978188,0.115381771,,1.6,200,1.397055563,0.259866913,,1.6,300,1.223331062,0.351902802,,1.6,400,1.181239441,0.374202131,,1.6,500,1.181239441,0.374202131
UKAvg,1.7,100,1.638277324,,,1.7,100,1.638277324,0.132072277,,1.7,200,1.339059359,0.290592183,,1.7,300,1.155557098,0.387808141,,1.7,400,1.111893928,0.410940046,,1.7,500,1.111893928,0.410940046
UKAvg,1.8,100,1.607939575,,,1.8,100,1.607939575,0.148144631,,1.8,200,1.28568644,0.318868125,,1.8,300,1.094898451,0.419943922,,1.8,400,1.050238896,0.443603692,,1.8,500,1.050238896,0.443603692
UKAvg,1.9,100,1.578704992,,,1.9,100,1.578704992,0.163632549,,1.9,200,1.236405166,0.344976394,,1.9,300,1.040290492,0.448874165,,1.9,400,0.995062236,0.472835222,,1.9,500,0.995062236,0.472835222
UKAvg,0.5,200,2.668288888,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.6,200,2.464427511,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.7,200,2.289505749,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.8,200,2.137769719,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.9,200,2.004896075,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1,200,1.887573447,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.1,200,1.783222714,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.2,200,1.689805204,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.3,200,1.605688177,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.4,200,1.529548585,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.5,200,1.460302966,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.6,200,1.397055563,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.7,200,1.339059359,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.8,200,1.28568644,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.9,200,1.236405166,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.5,300,3.447509575,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.6,300,2.958512403,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.7,300,2.591002758,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.8,300,2.304709255,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.9,300,2.075388661,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1,300,1.887573447,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.1,300,1.730930461,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.2,300,1.598293765,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.3,300,1.484537518,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.4,300,1.385898217,,,,100,200,300,400,500,,,,,,,,,,,,,,,,,,
UKAvg,1.5,300,1.299550293,,,1,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,
UKAvg,1.6,300,1.223331062,,,1.1,2.1%,5.5%,8.3%,9.1%,9.1%,,,,,,,,,,,,,,,,,,
UKAvg,1.7,300,1.155557098,,,1.2,4.2%,10.5%,15.3%,16.6%,16.6%,,,,,,,,,,,,,,,,,,
UKAvg,1.8,300,1.094898451,,,1.3,6.1%,14.9%,21.4%,23.0%,23.0%,,,,,,,,,,,,,,,,,,
UKAvg,1.9,300,1.040290492,,,1.4,8.0%,19.0%,26.6%,28.5%,28.5%,,,,,,,,,,,,,,,,,,
UKAvg,0.5,400,3.762355258,,,1.5,9.8%,22.6%,31.2%,33.3%,33.3%,,,,,,,,,,,,,,,,,,
UKAvg,0.6,400,3.138841245,,,1.6,11.5%,26.0%,35.2%,37.4%,37.4%,,,,,,,,,,,,,,,,,,
UKAvg,0.7,400,2.692610092,,,1.7,13.2%,29.1%,38.8%,41.1%,41.1%,,,,,,,,,,,,,,,,,,
UKAvg,0.8,400,2.357463023,,,1.8,14.8%,31.9%,42.0%,44.4%,44.4%,,,,,,,,,,,,,,,,,,
UKAvg,0.9,400,2.096511837,,,1.9,16.4%,34.5%,44.9%,47.3%,47.3%,,,,,,,,,,,,,,,,,,
UKAvg,1,400,1.887573447,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.1,400,1.716506402,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.2,400,1.573869706,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.3,400,1.453119681,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.4,400,1.349577728,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.5,400,1.259810041,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.6,400,1.181239441,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.7,400,1.111893928,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.8,400,1.050238896,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.9,400,0.995062236,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.5,500,3.762355258,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.6,500,3.138841245,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.7,500,2.692610092,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.8,500,2.357463023,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.9,500,2.096511837,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1,500,1.887573447,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.1,500,1.716506402,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.2,500,1.573869706,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.3,500,1.453119681,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.4,500,1.349577728,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.5,500,1.259810041,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.6,500,1.181239441,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.7,500,1.111893928,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.8,500,1.050238896,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.9,500,0.995062236,,,,,,,,,,,,,,,,,,,,,,,,,,
