Job.Latitude,Job.Longitude,Panel.Irradiance
9,24,"[6884 3886 3061 3464 3183 3642 2503 2581 3583 2901 3044 3860 3043 3722
 3342 6042 4806 3605 5600]"
16,21,"[3984 5166 1600 3522 2400 4427 3682 1200 3100 2602 5206 3022 2501 3460
 4885 4644 4441 8005 8064]"
9,30,"[4844 4604 5565 3582 2181 2727 3683 4123 3141 2783 2882 3781 3965 4101
 3164 4124 5203 3782 4660]"
56,26,"[10667  8005  5667  3643  3986  3303  2803  2322  2482  2806  2202  1704
  1740  2244  1880  1520  1642  1161  1081]"
3,22,"[9009 3665 4141 4784 4084 3180 4242 3143 3023 3302 3822 3863 4044 3842
 4663 3803 2582 2840 2660]"
30,26,"[4489 4501 4000 2841 2925 3603 3140 2820 3040 3990 4680 3240 4220 5810
 4460 3040 4186 4464 3621]"
0,23,"[8804 5704 5006 4701 3600 4262 4284 3225 3442 3886 3744 4426 4081 3365
 3200 2922 2240 1780 1860]"
-13,20,"[6700 4540 5161 3769 3600 3440 4222 3508 3020 4460 3582 4048 4960 5824
 4868 3668 3180 2120 1880]"
-6,28,"[8441 5928 3522 3480 4725 3623 3120 4082 3361 3647 4422 4062 5387 5227
 4145 3181 2400 2360 1300]"
40,24,"[9646 4665 5383 3382 3442 3503 3921 3401 3064 3023 3543 3640 3484 2564
 3264 2642 2824 3442 4345]"
-26,30,"[6505 4500 5060 4143 3226 2701 4740 3522 3166 4622 4060 5528 3802 3669
 3046 3220 2420 2220 2540]"
-13,30,"[7405 5345 3180 3221 4423 3363 3785 3141 3540 3545 3845 5000 4207 5524
 4703 4088 3060 2920 2740]"
18,30,"[3023 2700 2961 4124 3264 2021 2120 2202 5623 2885 2940 1860 4424 5022
 3744 3500 7525 5925 6742]"
52,20,"[11841  7523  5793  4985  3384  3362  3405  3225  2541  2461  2441  3104
  2100  1961  2243  2445  1561  1882  1322]"
28,23,"[3180 3565 4780 2445 2560 2482 4183 3421 3764 3120 3345 4840 4643 4702
 4205 5280 3765 3445 5323]"
20,29,"[5523 1640 1740 3865 4343 3282 1660 1800 4645 5043 2302 1620 3781 6644
 3585 4480 7004 5365 4421]"
57,29,"[10766  7308  5528  3863  3546  3441  2843  2583  2442  2626  2182  2043
  1724  2141  1901  1360  1761  1040  1021]"
-29,25,"[5365 4961 4304 4100 3345 3580 4506 3723 5081 4845 5066 3924 3610 2560
 3380 2500 2940 3000 2520]"
27,30,"[4582 3143 2460 2745 4200 3705 3000 1940 3625 4240 4365 2960 3983 6682
 5144 3061 4365 5085 3342]"
-9,22,"[5920 4540 6586 4384 2840 3862 4623 3605 3040 4683 3642 4385 4562 5646
 4429 3103 2500 2020 1620]"
12,30,"[4604 3483 5382 3784 1800 2140 2623 4402 3766 1782 2541 3323 4146 3921
 3600 3325 5303 6605 5164]"
-1,30,"[7889 7104 4864 4440 5106 3722 3683 3804 4785 4343 4223 4207 3663 3581
 2880 2400 1780 1780 1660]"
9,24,"[6884 3886 3061 3464 3183 3642 2503 2581 3583 2901 3044 3860 3043 3722
 3342 6042 4806 3605 5600]"
-24,27,"[5446 4404 3780 3500 3525 3605 3400 3640 3524 3686 4780 4500 5910 4200
 4289 3466 2620 3260 3140]"
-12,24,"[5985 5220 5225 4341 2845 3741 4203 3440 3465 3721 4144 4123 4463 6006
 3965 3688 2880 2420 2120]"
-30,24,"[5865 4741 4004 4200 3946 3885 4160 3984 5706 4882 4326 3090 3561 3080
 3080 2600 2940 2900 2340]"
16,20,"[5107 5304 1541 2480 2120 4225 4064 1340 3100 3180 4907 2422 2940 3561
 4804 4706 5420 7985 7044]"
23,21,"[3201 4205 3804 3660 1240 2300 4486 4784 1680 2360 3980 4767 5063 3160
 5562 6506 3763 3183 6244]"
38,23,"[6382 4244 4681 4305 3320 3223 3782 4160 3584 2580 3565 4521 4344 3161
 3665 3320 2725 3725 3085]"
-32,24,"[5666 5104 4481 4324 5044 4361 4806 5004 4642 4326 4212 2880 2880 2780
 2820 2500 3000 2400 2080]"
7,29,"[3782 5525 5103 3262 2542 2244 4521 3443 2960 3323 2503 3625 4241 4623
 3406 4222 5344 3802 3640]"
-6,20,"[6482 5402 5625 3966 3320 3962 4063 3807 3582 4581 3847 4660 5382 4586
 3445 3340 2840 1840 1380]"
21,20,"[2480 3704 5585 1940 1700 2540 5110 4621 1400 1600 4162 5967 2962 2960
 4280 8710 3820 4141 6227]"
28,28,"[3830 4420 2300 3080 3666 4544 1680 2900 3583 4365 4262 3260 3360 6166
 5804 2420 3944 6286 2563]"
-1,28,"[9369 5485 3602 3982 4082 3202 2763 2860 3643 3464 3462 4204 4105 4180
 3408 2963 2920 2200 1980]"
-12,21,"[4820 4060 5602 4128 2980 3180 4543 3807 3380 4541 3503 4627 4600 5581
 4449 3809 3240 2780 1940]"
57,28,"[10850  7822  5824  4189  3384  3463  3041  2424  2381  2783  2462  1902
  1903  2124  1686  1360  1562   960   821]"
17,24,"[4564 3180 2943 2422 3002 3703 2180 3725 1760 2822 4043 3680 3246 2741
 4323 5520 4225 7103 7043]"
-18,20,"[3660 3940 4444 3547 2920 3640 3900 3489 3001 4361 3041 4109 5141 6362
 4567 3848 3780 3100 3220]"
46,28,"[8809 8283 4923 3942 3388 4442 2342 2365 2821 3482 2342 2501 3167 3480
 1962 2182 3343 2081 2921]"
38,23,"[6382 4244 4681 4305 3320 3223 3782 4160 3584 2580 3565 4521 4344 3161
 3665 3320 2725 3725 3085]"
10,27,"[3624 5143 4824 3500 2283 1923 3781 4141 2982 2663 2662 4369 4182 3542
 3706 3862 5920 3364 5902]"
-5,22,"[6683 4523 5324 4103 4042 4320 3664 3626 3561 4222 3563 4964 4784 4105
 3884 3461 2680 1880 1580]"
47,23,"[11251  9030  6044  5087  4003  3104  3344  2681  2982  1840  2681  3241
  2422  2261  2481  1961  2184  2360  1621]"
-2,20,"[8181 5281 5224 4204 3920 4285 3843 3384 4100 3881 4471 4480 4483 3946
 3145 2601 2040 2120 1560]"
7,30,"[4865 5667 5367 3481 2301 2524 4002 3183 3361 3802 3062 3742 3762 5181
 3245 4463 4042 3802 3320]"
-3,23,"[8284 5501 6027 4683 3361 4243 4084 3362 3502 4203 4024 4642 4523 3729
 3044 2740 2140 1920 1440]"
56,28,"[11487  8127  5824  4004  3586  3443  3163  2345  2261  2704  2361  2005
  2003  2323  1662  1462  1840  1221  1220]"
-26,30,"[6505 4500 5060 4143 3226 2701 4740 3522 3166 4622 4060 5528 3802 3669
 3046 3220 2420 2220 2540]"
-30,22,"[6222 3689 3800 4140 4164 4846 3700 4184 4785 5941 4109 3429 3541 3740
 2620 2800 3060 2880 2240]"
44,25,"[10246  7229  5303  3623  3603  3284  3242  3001  3122  3144  2682  3282
  3043  2804  2503  2240  2923  2564  3141]"
13,25,"[8141 3264 2100 2325 3001 1841 2362 3762 2765 2060 3680 3145 4581 2224
 3560 5445 4964 4826 7946]"
-29,29,"[5260 5580 5462 3489 3840 4580 3502 5050 3921 5881 4427 4202 3770 2441
 2940 3320 2000 1660 2200]"
22,28,"[4140 2100 1540 3162 4906 4142 1500 1621 4463 5127 2460 2380 4581 4907
 6542 4020 4644 6146 3543]"
-21,27,"[5665 4066 3460 3780 3925 3644 3060 3520 3880 3170 4101 4441 4466 5222
 4744 3770 3081 3000 3400]"
-2,22,"[7306 5280 6306 4743 3382 3982 4005 3163 3820 4564 3662 4604 4542 3325
 3265 2781 1880 1960 1680]"
-32,24,"[5666 5104 4481 4324 5044 4361 4806 5004 4642 4326 4212 2880 2880 2780
 2820 2500 3000 2400 2080]"
51,20,"[12706  7026  5847  4820  3625  3644  3165  2881  2642  2421  2786  2362
  2423  2122  2123  2181  1562  1882  1541]"
-16,20,"[4820 4122 4942 3406 2900 3240 3881 3929 3082 4240 3363 4168 4920 6123
 4669 3905 4080 3140 2760]"
-25,22,"[3540 5120 4229 2981 4200 3380 3305 2765 4700 3780 4070 4540 5284 5026
 3230 2900 2940 3200 2680]"
-2,26,"[8365 5886 4860 4144 4583 4403 3600 3901 4024 4321 4345 4245 4086 3664
 3064 2441 2100 1540 1420]"
-21,20,"[3301 3920 4264 3845 2700 3240 3500 3729 3481 4080 3441 3529 5401 6002
 4267 3790 3880 3060 2840]"
18,25,"[4000 3240 3301 2949 2640 2620 2861 2820 2405 3422 3703 3260 3143 3543
 4942 4802 5162 6866 6342]"
42,20,"[13768  8429  3804  3541  1700  2024  2081  2541  2701  1764  2423  4103
  3560  2563  3764  3660  1904  2823  2844]"
-20,24,"[3400 4242 4904 3580 3185 2862 3803 3361 3485 4121 3223 3882 5245 5823
 4565 3828 3320 3180 3140]"
46,25,"[10405  8288  6027  3883  3763  3102  3620  2425  2944  2862  2582  2941
  2623  2642  2382  2142  2523  2140  2220]"
14,20,"[4785 4805  840 3580 3140 5110 2920  820 3360 4003 4587 2540 1681 5762
 4428 3781 5623 6647 7725]"
-6,28,"[8441 5928 3522 3480 4725 3623 3120 4082 3361 3647 4422 4062 5387 5227
 4145 3181 2400 2360 1300]"
-23,21,"[3220 4540 4641 3949 2380 3480 3780 3150 3540 4060 3080 4470 4740 6043
 4187 3730 3360 3060 2860]"
58,28,"[10987  7530  6121  3706  4289  3604  2702  2182  2162  2322  1822  1580
  1641  1864  1540  1560  1201  1241   940]"
15,24,"[4240 2822 4204 1560 4164 3020 2883 3702 1480 3205 3560 3264 3021 3424
 4361 4925 5001 6384 8567]"
11,30,"[4222 3802 6384 3522 1661 1960 3804 4403 3623 1900 2881 3244 3984 4081
 3462 3587 5881 5267 5045]"
1,29,"[7167 6548 3300 3622 4700 3204 3023 3800 3861 3604 3786 4040 4446 4703
 3405 2883 2840 2820 1940]"
51,20,"[12706  7026  5847  4820  3625  3644  3165  2881  2642  2421  2786  2362
  2423  2122  2123  2181  1562  1882  1541]"
15,30,"[2680 3060 4125 4423 2362 1741 1821 4264 4622 2322 1780 3101 4425 4365
 2701 4961 4807 7883 7065]"
51,30,"[10948  7328  5181  3966  3946  3302  3145  2343  2841  2901  2761  2042
  2342  2541  2562  1622  2641  1903  1842]"
-21,26,"[4885 3465 4420 2880 3025 3422 3823 3160 3101 3264 4145 4440 4325 6006
 5262 3868 4024 2940 2460]"
58,30,"[10350  7127  4442  4370  3405  3621  3042  2422  2642  2503  2184  1780
  1882  2041  1642  1781  1701  1262  1081]"
30,27,"[4350 4600 2880 3600 3468 3862 2540 3620 3400 4850 3960 2760 4480 5728
 4762 2500 3984 4926 3081]"
59,29,"[10731  6844  6065  3927  3723  3267  3121  2240  2604  2203  2242  1463
  2081  2003  1440  1200  1420   700   880]"
27,22,"[2980 3745 4062 3223 2300 2740 4605 3722 3003 2620 3844 4921 5065 3960
 4285 6261 3084 3324 5906]"
-24,26,"[5541 4245 4520 3000 4005 3485 3380 3820 3105 4025 4340 4343 5686 4281
 4090 3445 2700 3240 2720]"
28,26,"[4828 3080 2740 3401 3226 2883 2920 3340 3421 4109 3760 3540 3640 6228
 5622 3040 3965 5185 3502]"
25,22,"[2680 4245 4564 2981 1900 2502 4924 4022 2842 2560 3683 4463 5183 3761
 5484 5504 3842 3986 4964]"
-19,27,"[6126 4244 2720 4140 3843 3266 2703 3600 3901 3488 3941 4121 4907 5421
 5226 3766 2860 3880 3040]"
-27,21,"[5620 3863 3207 3480 5500 3122 2588 4160 3920 5170 4620 4605 3965 4750
 2460 2740 3260 3100 2560]"
9,29,"[3942 5164 5603 3501 1742 1722 4247 4401 2760 2502 2966 4202 3980 4382
 2925 4704 5505 3846 4880]"
-22,26,"[5526 3943 3940 3060 3765 3301 3244 3280 3904 3504 3563 4140 5066 5244
 5164 3949 2761 3680 3100]"
42,27,"[8369 6943 5161 4283 3845 4703 3181 2641 3322 4067 2540 3424 3624 3405
 2764 1960 3363 2061 2862]"
-28,27,"[5205 5000 4840 3605 3245 3780 4200 3947 3863 4080 5868 4402 3829 2966
 3300 3120 2680 2820 3000]"
17,20,"[3941 4829 2760 2381 1760 3541 4908 1500 2861 2521 3922 4566 2800 2662
 4500 5867 4041 7762 6487]"
-12,29,"[7305 4365 3600 2842 4701 3607 3100 3700 3904 3506 4442 4482 4785 6144
 4604 3828 3200 2980 2700]"
22,25,"[7586 6744 1520  901 1600 2804 2000 1921 2803 3542 3425 3240 4381 4024
 6046 5220 4720 4748 4461]"
5,29,"[4922 5685 4865 3082 2483 3281 3584 3363 3123 4342 2682 3244 4543 4423
 4544 4020 3625 3961 2700]"
-16,20,"[4820 4122 4942 3406 2900 3240 3881 3929 3082 4240 3363 4168 4920 6123
 4669 3905 4080 3140 2760]"
-4,22,"[6683 4643 5786 4403 3062 4922 4284 3585 3881 4302 3665 5124 4363 3924
 2823 3200 2660 2100 1560]"
13,20,"[5448 4642  960 3320 4047 4723 2400  760 2420 5388 3922 2480 1942 5707
 3921 4320 5269 6665 7646]"
8,29,"[4365 4865 5662 3122 2441 2183 4086 3600 2702 3063 3225 3482 4021 4662
 3184 4443 5265 3784 4140]"
11,24,"[6021 3864 2981 2804 2960 4024 2622 2761 3545 2462 3861 3022 4144 2862
 3483 6502 4587 4567 6763]"
5,22,"[8786 3184 2825 4864 4684 3262 3283 3544 2961 3862 4120 4383 3564 4280
 4443 4364 2822 3602 3020]"
30,26,"[4489 4501 4000 2841 2925 3603 3140 2820 3040 3990 4680 3240 4220 5810
 4460 3040 4186 4464 3621]"
-2,26,"[8365 5886 4860 4144 4583 4403 3600 3901 4024 4321 4345 4245 4086 3664
 3064 2441 2100 1540 1420]"
-26,25,"[5400 4805 3860 4145 3180 4245 2920 3885 3780 3665 4782 5723 4705 3849
 3726 2900 2640 2860 2580]"
13,30,"[3461 3385 4960 3563 1942 2261 2241 5144 3983 1640 2682 3344 4041 3823
 3901 3965 5665 7161 5629]"
4,20,"[8729 3580 3181 4503 4629 3243 3720 3482 2844 3441 4323 4023 3482 3962
 4623 4005 2965 3140 2820]"
16,30,"[3480 2240 3825 3961 2424 1880 2160 3865 4441 2664 1300 2881 5244 4222
 2723 4701 5565 7524 7604]"
23,26,"[4746 2741 1721 2360 4686 2702 2500 2320 4303 4086 3122 3220 3901 5406
 6442 4240 4182 5487 3642]"
46,24,"[10565  8329  6103  4244  3423  3324  2901  3404  2562  2742  2221  2921
  2482  2722  2662  2542  2402  2245  2542]"
43,23,"[9283 7390 6304 5043 3564 3123 3481 3741 3463 1982 2923 3462 3363 2323
 2804 2780 2122 2343 2322]"
-16,26,"[5625 4285 3480 3860 4005 3442 3123 3580 3723 3567 3801 4921 4648 5341
 4986 3988 3000 3540 3120]"
17,21,"[4240 4309 2521 2722 1780 3364 5183 1721 2760 2181 4442 4106 2662 2640
 4821 5648 4101 7702 7128]"
-10,25,"[6104 5465 4882 3520 3485 3882 4542 3320 3525 3303 4182 4482 5346 5704
 4068 3604 2660 2500 1880]"
14,27,"[2840 3901 4524 3865 1340 1180 3960 3864 4046 2081 1780 4922 4627 2361
 3300 6102 4388 7543 7167]"
-19,23,"[3380 3920 4585 4146 2460 3140 3882 3602 3165 4141 3503 4084 4722 6405
 4225 4170 3680 3040 3360]"
52,21,"[12386  7163  5968  4843  3541  3184  3326  3144  2600  2182  2643  2903
  2181  1780  2204  2444  1320  2263  1222]"
4,20,"[8729 3580 3181 4503 4629 3243 3720 3482 2844 3441 4323 4023 3482 3962
 4623 4005 2965 3140 2820]"
-28,21,"[6401 3529 3120 4481 4860 2909 3500 3600 4304 5467 5060 4029 3710 4800
 2440 2680 3220 3120 2300]"
-25,30,"[8325 3680 2800 2920 2845 3020 4520 3600 3545 4425 4460 5105 4865 3842
 3552 3161 2400 2480 2580]"
-1,29,"[10323  5927  3860  3922  4564  3085  2661  4060  3986  3204  3803  3684
  4088  5023  3444  3040  2300  2140  1780]"
-2,28,"[9604 6645 3760 4042 4203 3523 3381 3522 3464 3463 3862 3763 4226 3644
 3026 2722 2280 1940 1520]"
17,26,"[3940 3081 3060 2584 3485 3143 2621 3220 2605 3521 2880 3160 3081 4307
 3962 3860 6024 6724 6943]"
31,28,"[4649 5460 2680 3822 3806 4582 2100 2900 3807 4383 4140 2701 3543 5426
 4240 2520 3285 5645 2667]"
55,26,"[11244  7709  6003  3808  3343  4124  2702  2221  2680  2762  2305  1964
  1823  2201  1481  1523  1643  1520  1281]"
57,24,"[10626  7029  6164  4464  3984  3547  2922  2603  2404  2683  2582  2044
  2081  1761  1901  1461  1540  1120  1100]"
32,20,"[4960 4100 4610 4860 3240 3080 3522 4708 3100 3000 3801 5046 4343 3220
 3662 5468 2040 3084 4986]"
16,24,"[4184 3240 3883 1462 2824 4121 2280 3744 1441 3384 3781 3201 3464 2681
 4664 4700 4726 6624 7705]"
-26,25,"[5400 4805 3860 4145 3180 4245 2920 3885 3780 3665 4782 5723 4705 3849
 3726 2900 2640 2860 2580]"
-27,23,"[6120 4245 3465 3980 4460 3545 2985 4000 4140 4706 4804 4403 4447 4070
 2800 2820 2860 3180 2360]"
14,20,"[4785 4805  840 3580 3140 5110 2920  820 3360 4003 4587 2540 1681 5762
 4428 3781 5623 6647 7725]"
10,25,"[4562 4246 3321 3345 2641 3365 3223 3623 2663 2842 2903 4042 3722 3320
 3904 5363 5521 3306 6363]"
-30,27,"[6042 5000 4704 3986 3780 3540 4586 4684 4560 4629 4142 4551 3163 2900
 3160 3100 2420 2180 2620]"
-12,24,"[5985 5220 5225 4341 2845 3741 4203 3440 3465 3721 4144 4123 4463 6006
 3965 3688 2880 2420 2120]"
8,27,"[3544 5281 4567 3382 2400 2460 3523 4384 3041 2901 3183 3268 4363 4062
 3345 4821 5965 3064 4880]"
5,21,"[8410 4022 2180 4365 4724 3061 3443 3542 3044 3762 3602 4422 3184 4222
 5106 4384 2702 3880 3020]"
35,25,"[5868 3502 4720 3922 4405 3503 3920 3101 3885 4024 3640 3880 4602 4366
 3683 2880 3946 3145 4505]"
38,23,"[6382 4244 4681 4305 3320 3223 3782 4160 3584 2580 3565 4521 4344 3161
 3665 3320 2725 3725 3085]"
-3,20,"[7043 5045 5803 3863 3461 4241 4443 3845 3601 4261 3667 4801 4902 4248
 3385 2680 1880 2000 1580]"
-19,24,"[3801 3682 4564 3542 3324 2880 4044 3621 3485 4081 3305 3940 5305 6124
 4284 4247 3141 3580 2700]"
-29,30,"[6741 6561 5462 4088 4020 3921 3724 4944 3440 5306 4025 4026 2708 2460
 2640 2160 2140 2180 2120]"
8,24,"[6503 3404 2662 4226 3401 3481 2641 3202 4182 2564 3003 4202 3422 4164
 3782 5302 4865 3244 4960]"
0,23,"[8804 5704 5006 4701 3600 4262 4284 3225 3442 3886 3744 4426 4081 3365
 3200 2922 2240 1780 1860]"
-16,28,"[6844 4746 3580 3620 4422 4048 2580 4220 4343 3347 4221 4282 4606 5363
 4504 3709 3000 3000 2700]"
5,22,"[8786 3184 2825 4864 4684 3262 3283 3544 2961 3862 4120 4383 3564 4280
 4443 4364 2822 3602 3020]"
30,25,"[5009 2680 4760 3805 3724 2441 3420 2920 3002 3568 4320 3740 3960 5770
 4480 3460 4227 4243 3826]"
7,30,"[4865 5667 5367 3481 2301 2524 4002 3183 3361 3802 3062 3742 3762 5181
 3245 4463 4042 3802 3320]"
20,27,"[4420 1840 2460 2603 5207 2860 1540 2680 2783 6307 2140 1860 3801 5525
 4224 4821 5823 6565 4363]"
52,23,"[11186  7628  5401  4144  3725  2905  3322  2983  2762  2605  2864  2543
  2444  2180  2221  2223  1820  1941  1462]"
54,29,"[11527  8088  5224  3705  3402  3487  3204  2221  2583  3123  2442  1881
  1764  2623  1981  1684  1941  1401  1460]"
30,24,"[4824 4041 5180 2222 2723 2345 3620 3300 3345 3342 3843 4180 4664 4623
 4303 4260 4106 3664 4863]"
15,21,"[5005 4845 1040 3120 2621 5727 2542  940 2980 3260 4909 2882 1860 4460
 4728 4261 5681 6669 8223]"
-29,25,"[5365 4961 4304 4100 3345 3580 4506 3723 5081 4845 5066 3924 3610 2560
 3380 2500 2940 3000 2520]"
59,28,"[10730  6647  5229  3805  3903  3503  2786  2260  2166  1885  2241  1560
  1781  2040  1661  1440  1840  1280  1060]"
-5,21,"[5585 4345 6064 4223 3561 4520 3803 3605 3560 4720 3748 5400 4862 3766
 3547 3141 2420 2060 1800]"
-4,22,"[6683 4643 5786 4403 3062 4922 4284 3585 3881 4302 3665 5124 4363 3924
 2823 3200 2660 2100 1560]"
48,21,"[11183  6764  5427  5105  2924  3063  3346  3702  2501  2182  3024  3542
  2084  2001  3060  2781  1961  2702  2001]"
-16,30,"[6785 4765 3200 3480 4345 3805 3140 3780 3922 3867 4481 4201 4949 5606
 4026 3443 3060 3060 3140]"
54,26,"[12024  8429  5621  3802  3168  3902  3285  2363  2003  2905  2283  2021
  2185  2263  1902  1382  1763  1402  1280]"
25,21,"[4060 4484 2804 3822 1600 2600 4365 4104 2161 2980 3481 4826 5343 3360
 5022 6646 3342 3020 5990]"
53,21,"[12550  6607  5746  4504  3483  3122  3024  2822  2400  2402  2363  2601
  2202  1761  2064  2485  1942  1782  1402]"
23,21,"[3201 4205 3804 3660 1240 2300 4486 4784 1680 2360 3980 4767 5063 3160
 5562 6506 3763 3183 6244]"
18,21,"[2840 4227 3863 2440 2220 2922 4887 2441 2260 2120 3884 5226 2741 2023
 4580 7026 4143 6921 6425]"
-15,20,"[4840 4360 5021 3629 2860 3380 3901 3929 3160 4080 3301 3889 5022 6442
 4607 3909 3580 2980 2760]"
45,25,"[11086  5526  4546  2902  3783  2740  3300  3120  3324  3546  2941  3467
  2942  2943  2762  2244  2661  2021  2581]"
2,26,"[7325 5584 4986 3422 3724 4321 2946 3983 3644 3423 3803 4163 4444 4405
 3582 2880 3220 2800 2320]"
11,20,"[8131 3621 1260 2082 5444 4124 2821 1460 2401 5184 3263 3021 2705 3864
 5281 4401 4090 6986 4401]"
-24,20,"[4500 4120 3845 3725 3500 3220 3243 3307 3920 4180 3324 4526 5220 5068
 3762 3510 3220 2940 2660]"
50,20,"[12469  7908  4928  5066  3384  2802  2762  3224  2522  2280  2820  2883
  2320  1680  2321  2341  1561  2061  1662]"
